Threads,Simple,Simple Stateful,Simple with Sleep,DPOR,SDPOR,DPOR with Sleep,
1,0.002,0.002,0.002,0.002,0.002,0.002,
2,0.012,0.008,0.002,0.004,0.004,0.002,
3,3.696,12.8,0.016,0.004,0.016,0.002,
4,,,0.092,0.008,0.036,0.004,
5,,,0.58,0.008,0.068,0.008,
6,,,3.74,0.008,0.12,0.008,
7,,,23.4,0.012,0.2,0.012,
8,,,,0.016,0.3,0.016,
9,,,,0.02,0.472,0.016,
10,,,,0.02,0.612,0.016,
11,,,,0.028,0.892,0.024,
12,,,,0.148,6.89,0.056,
13,,,,0.724,,0.16,
14,,,,3.1,,0.536,
15,,,,15,,2.85,
16,,,,,,29.6,
17,,,,,,,
