2,2,2,2,2,2,2,2,
5,5,5,5,5,5,5,5,
16,13,13,16,16,16,13,13,
65,33,33,65,65,65,33,33,
326,129,49,66,66,66,96,48,
1957,473,97,133,133,133,295,93,
13700,1629,225,400,3429,400,898,213,
109601,5313,545,1601,44357,1601,2657,513,
986410,36706,801,1602,44358,1602,15664,752,
9864101,,1569,3205,99161,3205,74257,1469,
,,3617,9616,,9616,,,
,,8737,38465,,38465,,,
,,12833,38466,,38466,,,
,,25121,76933,,76933,,,
,,,,,230800,,230800,,,
,,,923201,,,,,923201,,,,,
,,,923202,,,,,
,,,1846405,,,,,
,,,5539216,,,,,
,,,22156865,,,,,
